Model,MAE,RMSE,R² Score
Linear Regression,18982.431250795868,32877.811505495716,0.8590737264370776
Ridge Regression,18933.222640260265,32528.34979918597,0.8620536451674293
ElasticNet,18841.702187212282,32567.156485377564,0.8617243057343161
Lasso Regression,18855.497238977696,32564.636379760836,0.861745704954192
Gradient Boosting,17520.71727950634,28333.015672715614,0.8953421594562485
Random Forest,17969.308927101236,31920.63455362597,0.8671598987079062
XGBoost,17253.576599957196,29253.677914001655,0.8884300812794271
